index,prenoms,sexe,nombre_prenoms_sexe,nombre_prenoms,proportion
336,bouchra,F,6,6,1.0
337,bradley,M,5,5,1.0
338,brahim,M,35,35,1.0
339,brandon,M,21,21,1.0
340,brayan,M,27,27,1.0
341,briac,M,31,31,1.0
342,brian,M,11,11,1.0
343,brice,M,46,46,1.0
344,brieuc,M,60,60,1.0
345,brune,F,140,140,1.0
346,bruno,M,64,64,1.0
347,bryan,M,167,167,1.0
348,bérénice,F,17,17,1.0
349,calista,F,11,11,1.0
350,calixte,M,92,92,1.0
351,calvin,M,25,25,1.0
352,camelia,F,152,152,1.0
353,cameron,M,61,61,1.0
354,camil,M,49,49,1.0
355,camila,F,30,30,1.0
356,camilia,F,27,27,1.0
357,camille,F,4017,4239,0.94762915782
359,camélia,F,48,48,1.0
360,candice,F,418,418,1.0
361,capucine,F,935,935,1.0
362,carine,F,9,9,1.0
363,carl,M,54,54,1.0
364,carla,F,795,795,1.0
365,carlotta,F,8,8,1.0
366,carmen,F,87,87,1.0
367,caroline,F,220,220,1.0
368,cassandra,F,245,245,1.0
369,cassandre,F,260,260,1.0
370,cassie,F,25,25,1.0
371,cassiopee,F,11,11,1.0
372,castille,F,40,40,1.0
373,catherine,F,84,84,1.0
374,cecile,F,158,158,1.0
375,cecilia,F,73,73,1.0
376,cedric,M,101,101,1.0
377,celeste,F,310,310,1.0
378,celestin,M,62,62,1.0
379,celestine,F,52,52,1.0
380,celia,F,435,435,1.0
381,celian,M,57,57,1.0
382,celina,F,21,21,1.0
383,celine,F,263,263,1.0
384,cerise,F,19,19,1.0
385,cesar,M,259,259,1.0
386,chahine,M,27,27,1.0
387,chahinez,F,31,31,1.0
388,chanel,F,6,6,1.0
389,charles,M,942,942,1.0
390,charlie,F,370,471,0.785562632696
392,charline,F,317,317,1.0
393,charlize,F,10,10,1.0
394,charlotte,F,2109,2109,1.0
395,charly,M,150,150,1.0
396,charlène,F,41,41,1.0
397,chayma,F,33,33,1.0
