index,prenoms,sexe,nombre_prenoms_sexe,nombre_prenoms,proportion
1702,rosa,F,28,28,1.0
1703,rosalie,F,218,218,1.0
1704,rose,F,1381,1381,1.0
1705,roxane,F,435,435,1.0
1706,roxanne,F,33,33,1.0
1707,roy,M,6,6,1.0
1708,ruben,M,684,684,1.0
1709,rudy,M,30,30,1.0
1710,ruth,F,13,13,1.0
1711,ryad,M,85,85,1.0
1712,ryan,M,439,439,1.0
1713,rym,F,26,26,1.0
1714,rémi,M,250,250,1.0
1715,rémy,M,38,38,1.0
1716,saad,M,6,6,1.0
1717,sabri,M,42,42,1.0
1718,sabrina,F,208,208,1.0
1719,sabrine,F,24,24,1.0
1720,sacha,M,2333,2333,1.0
1721,sadio,F,53,53,1.0
1722,safa,F,67,67,1.0
1723,safia,F,71,71,1.0
1724,safiya,F,22,22,1.0
1725,sakina,F,6,6,1.0
1726,salim,M,120,120,1.0
1727,salimata,F,68,68,1.0
1728,sally,F,6,6,1.0
1729,salma,F,358,358,1.0
1730,salome,F,666,666,1.0
1731,salomé,F,438,438,1.0
1732,sam,M,161,161,1.0
1733,samantha,F,41,41,1.0
1734,samba,M,70,70,1.0
1735,sami,M,310,310,1.0
1736,samia,F,31,31,1.0
1737,samir,M,24,24,1.0
1738,samson,M,6,6,1.0
1739,samuel,M,1800,1800,1.0
1740,samy,M,492,492,1.0
1741,sana,F,131,131,1.0
1742,sanaa,F,14,14,1.0
1743,sandra,F,67,67,1.0
1744,sandro,M,139,139,1.0
1745,santiago,M,20,20,1.0
1746,sara,F,934,934,1.0
1747,sarah,F,3489,3489,1.0
1748,sarra,F,12,12,1.0
1749,sasha,F,594,715,0.830769230769
1751,saskia,F,7,7,1.0
1752,satine,F,36,36,1.0
1753,saul,M,20,20,1.0
1754,savannah,F,11,11,1.0
1755,saïd,M,39,39,1.0
1756,scarlett,F,44,44,1.0
1757,scott,M,8,8,1.0
1758,sean,M,48,48,1.0
1759,sebastian,M,29,29,1.0
1760,sebastien,M,146,146,1.0
1761,sekou,M,106,106,1.0
1762,selena,F,30,30,1.0
1763,selim,M,15,15,1.0
1764,selma,F,386,386,1.0
1765,selyan,M,39,39,1.0
1766,selène,F,12,12,1.0
1767,sephora,F,13,13,1.0
1768,serena,F,74,74,1.0
1769,serge,M,7,7,1.0
1770,serine,F,23,23,1.0
1771,seydou,M,21,21,1.0
1772,shana,F,266,266,1.0
1773,shani,F,6,6,1.0
1774,shanice,F,14,14,1.0
1775,shanna,F,33,33,1.0
1776,shannon,F,5,5,1.0
1777,shanon,F,6,6,1.0
1778,shany,F,15,15,1.0
1779,sharon,F,28,28,1.0
1780,shawn,M,7,7,1.0
1781,shayan,M,5,5,1.0
1782,shayma,F,6,6,1.0
1783,shayna,F,36,36,1.0
1784,shaï,M,80,80,1.0
1785,shaïly,F,21,21,1.0
1786,shaïma,F,24,24,1.0
1787,shaïna,F,66,66,1.0
1788,shelly,F,16,16,1.0
1789,sherine,F,39,39,1.0
1790,shirel,F,207,207,1.0
1791,shirine,F,5,5,1.0
1792,sibylle,F,93,93,1.0
1793,sidney,M,13,13,1.0
1794,sidonie,F,164,164,1.0
1795,sidy,M,6,6,1.0
1796,sienna,F,53,53,1.0
1797,siham,F,13,13,1.0
1798,sihem,F,5,5,1.0
1799,silas,M,14,14,1.0
1800,siloe,F,20,20,1.0
1801,simeon,M,63,63,1.0
1802,simon,M,1783,1783,1.0
1803,sira,F,42,42,1.0
1804,sirine,F,297,297,1.0
1805,sixtine,F,266,266,1.0
1806,skander,M,7,7,1.0
1807,soan,M,96,96,1.0
1808,soen,M,7,7,1.0
1809,sofia,F,885,885,1.0
1810,sofian,M,31,31,1.0
1811,sofiane,M,448,448,1.0
1812,sohan,M,58,58,1.0
1813,sohane,F,21,21,1.0
1814,solal,M,412,412,1.0
1815,solange,F,13,13,1.0
1816,solenn,F,56,56,1.0
1817,soline,F,119,119,1.0
1818,solveig,F,27,27,1.0
1819,solène,F,391,391,1.0
1820,sonia,F,185,185,1.0
1821,sophia,F,337,337,1.0
1822,sophie,F,492,492,1.0
1823,soraya,F,76,76,1.0
1824,soren,M,83,83,1.0
1825,soukaïna,F,5,5,1.0
1826,souleyman,M,19,19,1.0
1827,souleymane,M,179,179,1.0
1828,soumaya,F,25,25,1.0
1829,stacy,F,6,6,1.0
1830,stan,M,13,13,1.0
1831,stanislas,M,311,311,1.0
1832,stanley,M,16,16,1.0
1833,steeve,M,9,9,1.0
1834,stefan,M,23,23,1.0
1835,stella,F,481,481,1.0
1836,stephane,M,88,88,1.0
1837,stephanie,F,29,29,1.0
1838,steve,M,6,6,1.0
1839,steven,M,117,117,1.0
1840,suzanne,F,406,406,1.0
1841,suzie,F,12,12,1.0
1842,sven,M,6,6,1.0
1843,swan,M,44,44,1.0
1844,swann,M,173,173,1.0
1845,sybille,F,15,15,1.0
1846,sylvain,M,70,70,1.0
1847,sylvia,F,6,6,1.0
1848,sylvie,F,13,13,1.0
1849,syrine,F,185,185,1.0
1850,sébastien,M,66,66,1.0
1851,sélène,F,10,10,1.0
1852,séléna,F,22,22,1.0
1853,séréna,F,5,5,1.0
1854,taha,M,6,6,1.0
1855,tal,F,26,26,1.0
1856,tali,F,67,67,1.0
1857,talia,F,94,94,1.0
1858,talya,F,13,13,1.0
1859,tamara,F,54,54,1.0
1860,tancrède,M,35,35,1.0
1861,tanguy,M,96,96,1.0
1862,tania,F,95,95,1.0
1863,tanya,F,15,15,1.0
1864,tao,M,92,92,1.0
1865,tara,F,129,129,1.0
1866,tasnim,F,39,39,1.0
1867,tasnime,F,17,17,1.0
1868,tatiana,F,68,68,1.0
1869,taïna,F,13,13,1.0
1870,taïs,F,6,6,1.0
1871,tea,F,5,5,1.0
1872,teddy,M,66,66,1.0
1873,teo,M,96,96,1.0
1874,terence,M,39,39,1.0
1875,tesnime,F,11,11,1.0
1876,tess,F,339,339,1.0
1877,tessa,F,228,228,1.0
1878,thalia,F,73,73,1.0
1879,thaïs,F,461,461,1.0
1880,thea,F,98,98,1.0
1881,thelma,F,92,92,1.0
1882,theo,M,894,894,1.0
1883,theodore,M,311,311,1.0
1884,theophane,M,23,23,1.0
1885,theophile,M,296,296,1.0
1886,theotime,M,30,30,1.0
1887,therèse,F,6,6,1.0
1888,thiago,M,5,5,1.0
1889,thibaud,M,154,154,1.0
1890,thibault,M,747,747,1.0
1891,thibaut,M,218,218,1.0
1892,thierno,M,6,6,1.0
1893,thierry,M,58,58,1.0
1894,thiméo,M,5,5,1.0
1895,thomas,M,3593,3593,1.0
1896,théa,F,21,21,1.0
1897,théo,M,1482,1482,1.0
1898,théodore,M,30,30,1.0
1899,théophile,M,6,6,1.0
1900,tia,F,7,7,1.0
1901,tiago,M,321,321,1.0
1902,tiana,F,18,18,1.0
1903,tidiane,M,62,62,1.0
1904,tiffany,F,79,79,1.0
1905,tiguida,F,5,5,1.0
1906,tilio,M,7,7,1.0
1907,tim,M,102,102,1.0
1908,timeo,M,187,187,1.0
1909,timothe,M,208,208,1.0
1910,timothee,M,621,621,1.0
1911,timothé,M,215,215,1.0
1912,timothée,M,268,268,1.0
1913,timéo,M,699,699,1.0
1914,tina,F,56,56,1.0
1915,tino,M,7,7,1.0
1916,tiphaine,F,136,136,1.0
1917,titouan,M,1215,1215,1.0
1918,tobias,M,19,19,1.0
1919,tom,M,2158,2158,1.0
1920,toma,M,5,5,1.0
1921,tomas,M,21,21,1.0
1922,tommy,M,18,18,1.0
1923,tony,M,236,236,1.0
1924,toscane,F,42,42,1.0
1925,tracy,F,12,12,1.0
1926,tristan,M,1058,1058,1.0
1927,tsipora,F,5,5,1.0
1928,tybalt,M,7,7,1.0
1929,tymeo,M,5,5,1.0
1930,tyméo,M,16,16,1.0
1931,tyron,M,5,5,1.0
1932,téo,M,139,139,1.0
1933,ugo,M,151,151,1.0
1934,ulysse,M,512,512,1.0
1935,vadim,M,248,248,1.0
1936,valentin,M,1694,1694,1.0
1937,valentina,F,65,65,1.0
1938,valentine,F,1107,1107,1.0
1939,valentino,M,14,14,1.0
1940,valerie,M,12,12,1.0
1941,vanessa,F,128,128,1.0
1942,vasco,M,8,8,1.0
1943,vera,F,5,5,1.0
1944,vianney,M,63,63,1.0
1945,victoire,F,879,879,1.0
1946,victor,M,2751,2751,1.0
1947,victoria,F,977,977,1.0
1948,victorien,M,6,6,1.0
1949,viktor,M,73,73,1.0
1950,viktoria,F,5,5,1.0
1951,vincent,M,597,597,1.0
1952,violette,F,610,610,1.0
1953,virgil,M,6,6,1.0
1954,virgile,M,212,212,1.0
1955,virginie,F,8,8,1.0
1956,viviane,F,69,69,1.0
1957,vivien,M,5,5,1.0
1958,vladimir,M,88,88,1.0
1959,wael,M,80,80,1.0
1960,walid,M,277,277,1.0
1961,wandrille,M,34,34,1.0
1962,warren,M,74,74,1.0
1963,wassim,M,365,365,1.0
1964,waël,M,59,59,1.0
1965,wendy,F,77,77,1.0
1966,wesley,M,44,44,1.0
1967,wiktoria,F,7,7,1.0
1968,wilfried,M,12,12,1.0
1969,william,M,875,875,1.0
1970,willy,M,21,21,1.0
1971,wilson,M,7,7,1.0
1972,wissam,F,6,6,1.0
1973,wissem,M,38,38,1.0
1974,xavier,M,143,143,1.0
1975,yacine,M,487,487,1.0
1976,yacouba,M,13,13,1.0
1977,yael,F,15,15,1.0
1978,yahya,M,14,14,1.0
1979,yamina,F,16,16,1.0
1980,yan,M,5,5,1.0
1981,yani,M,64,64,1.0
1982,yanis,M,2427,2427,1.0
1983,yaniss,M,11,11,1.0
1984,yann,M,596,596,1.0
1985,yanni,M,6,6,1.0
1986,yannick,M,83,83,1.0
1987,yannis,M,198,198,1.0
1988,yara,F,41,41,1.0
1989,yaron,M,7,7,1.0
1990,yasin,M,7,7,1.0
1991,yasmina,F,49,49,1.0
1992,yasmine,F,1017,1017,1.0
1993,yasser,M,14,14,1.0
1994,yassin,M,48,48,1.0
1995,yassine,M,494,494,1.0
1996,yaya,M,7,7,1.0
1997,yaël,F,132,163,0.80981595092
1999,yaëlle,F,7,7,1.0
2000,ylan,M,70,70,1.0
2001,yoan,M,180,180,1.0
2002,yoann,M,153,153,1.0
2003,yoav,M,12,12,1.0
2004,yoel,M,5,5,1.0
2005,yohan,M,246,246,1.0
2006,yohann,M,95,95,1.0
2007,yona,F,77,77,1.0
2008,yoni,M,32,32,1.0
2009,yossef,M,25,25,1.0
2010,youcef,M,109,109,1.0
2011,youenn,M,23,23,1.0
2012,youmna,F,6,6,1.0
2013,youna,F,36,36,1.0
2014,younes,M,286,286,1.0
2015,youness,M,5,5,1.0
2016,younès,M,76,76,1.0
2017,youri,M,28,28,1.0
2018,yousra,F,113,113,1.0
2019,youssef,M,458,458,1.0
2020,youssouf,M,126,126,1.0
2021,yoël,M,6,6,1.0
2022,yse,F,52,52,1.0
2023,ysee,F,49,49,1.0
2024,ysée,F,5,5,1.0
2025,yuna,F,107,107,1.0
2026,yuri,M,6,6,1.0
2027,yusuf,M,6,6,1.0
2028,yvan,M,45,45,1.0
2029,yves,M,18,18,1.0
2030,zacharia,M,5,5,1.0
2031,zacharie,M,188,188,1.0
2032,zachary,M,89,89,1.0
2033,zack,M,12,12,1.0
2034,zadig,M,35,35,1.0
2035,zahra,F,56,56,1.0
2036,zakaria,M,312,312,1.0
2037,zakariya,M,26,26,1.0
2038,zakary,M,17,17,1.0
2039,zakarya,M,27,27,1.0
2040,zayd,M,5,5,1.0
2041,zayneb,F,6,6,1.0
2042,zeinab,F,5,5,1.0
2043,zelie,F,192,192,1.0
2044,zephyr,M,6,6,1.0
2045,zia,F,11,11,1.0
2046,ziad,M,5,5,1.0
2047,zina,F,6,6,1.0
2048,zineb,F,33,33,1.0
2049,ziyad,M,20,20,1.0
2050,zoe,F,1124,1124,1.0
2051,zohra,F,6,6,1.0
2052,zoé,F,1156,1156,1.0
2053,zoë,F,12,12,1.0
2054,zuzanna,F,6,6,1.0
2055,zélie,F,158,158,1.0
2056,élisa,F,10,10,1.0
2057,élise,F,12,12,1.0
2058,élora,F,5,5,1.0
2059,éloïse,F,6,6,1.0
2060,éléa,F,38,38,1.0
2061,énora,F,6,6,1.0
2062,éthan,M,7,7,1.0
2063,éva,F,5,5,1.0
